application_date,business_age,annual_revenue,credit_score,loan_amount,existing_debt,debt_to_income_ratio,loan_to_income_ratio,default_probability,default,industry
2022-10-12,10.0,1046157,507.0,46675,46160,0.04,0.04,0.351,1,Services
2022-10-13,2.0,1715974,705.0,60600,64058,0.04,0.04,0.314,1,Services
2022-10-14,13.0,263444,559.0,143420,242611,0.92,0.54,0.516,1,Other
2022-10-15,8.0,85215,628.0,32916,260292,3.05,0.39,1.0,1,Services
2022-10-16,19.0,881390,772.0,94348,73793,0.08,0.11,0.125,0,Manufacturing
2022-10-17,3.0,1987193,545.0,338445,94843,0.05,0.17,0.258,0,Other
2022-10-18,17.0,1942221,674.0,45848,189065,0.1,0.02,0.194,0,Services
2022-10-19,10.0,1109101,695.0,164248,240347,0.22,0.15,0.011,0,Other
2022-10-20,12.0,884105,768.0,54765,179953,0.2,0.06,0.154,0,Other
2022-10-21,19.0,1576229,845.0,193243,195712,0.12,0.12,0.075,0,Services
2022-10-22,5.0,220044,568.0,160888,226333,1.03,0.73,0.731,1,Other
2022-10-23,16.0,1479473,555.0,119983,227708,0.15,0.08,0.329,0,Manufacturing
2022-10-24,5.0,438896,569.0,391257,236662,0.54,0.89,0.76,1,Services
2022-10-25,9.0,1521915,738.0,218093,156528,0.1,0.14,0.0,0,Manufacturing
2022-10-26,10.0,237055,616.0,149779,155583,0.66,0.63,0.61,1,Manufacturing
2022-10-27,15.0,1521792,659.0,481636,166281,0.11,0.32,0.313,1,Other
2022-10-28,7.0,1083374,521.0,205637,191143,0.18,0.19,0.276,0,Retail
2022-10-29,19.0,1382041,562.0,35700,151637,0.11,0.03,0.199,1,Services
2022-10-30,12.0,388495,656.0,52644,250430,0.64,0.14,0.334,1,Services
2022-10-31,14.0,650477,844.0,11615,296887,0.46,0.02,0.0,0,Manufacturing
2022-11-01,16.0,1114474,690.0,127990,44434,0.04,0.11,0.023,0,Retail
2022-11-02,9.0,1475415,512.0,12373,47708,0.03,0.01,0.199,1,Other
2022-11-03,3.0,1361600,780.0,271967,265848,0.2,0.2,0.214,0,Other
2022-11-04,5.0,1193302,694.0,141099,36286,0.03,0.12,0.311,0,Manufacturing
2022-11-05,15.0,1182875,601.0,143593,190828,0.16,0.12,0.098,0,Manufacturing
2022-11-06,9.0,201068,650.0,32891,162852,0.81,0.16,0.359,0,Manufacturing
2022-11-07,7.0,455460,654.0,135645,280336,0.62,0.3,0.466,1,Services
2022-11-08,14.0,1244462,538.0,162045,44018,0.04,0.13,0.442,1,Other
2022-11-09,1.0,124329,730.0,352485,116794,0.94,2.84,0.912,1,Services
2022-11-10,14.0,1752569,748.0,147814,286393,0.16,0.08,0.198,1,Other
2022-11-11,8.0,525343,610.0,431202,165218,0.31,0.82,0.386,1,Manufacturing
2022-11-12,3.0,97043,,393976,297336,3.06,4.06,1.0,1,Services
2022-11-13,7.0,507713,648.0,470332,150148,0.3,0.93,0.457,1,Manufacturing
2022-11-14,11.0,942501,582.0,420275,155961,0.17,0.45,0.236,1,Manufacturing
2022-11-15,5.0,1477700,607.0,201593,253689,0.17,0.14,0.506,1,Other
2022-11-16,5.0,814042,719.0,419238,271705,0.33,0.52,0.277,1,Retail
2022-11-17,14.0,1641004,625.0,50597,295287,0.18,0.03,0.088,1,Other
2022-11-18,2.0,1061151,550.0,444052,240146,0.23,0.42,0.485,1,Services
2022-11-19,10.0,464731,821.0,485542,216868,0.47,1.04,0.41,1,Manufacturing
2022-11-20,12.0,891293,662.0,357150,223665,0.25,0.4,0.371,1,Manufacturing
2022-11-21,14.0,676301,804.0,188461,217331,0.32,0.28,0.14,0,Services
2022-11-22,1.0,616057,563.0,174507,121041,0.2,0.28,0.444,1,Services
2022-11-23,14.0,1768623,524.0,60234,219910,0.12,0.03,0.285,0,Other
2022-11-24,2.0,1531184,834.0,15948,282492,0.18,0.01,0.05,0,Services
2022-11-25,18.0,624957,656.0,394987,30019,0.05,0.63,0.288,0,Services
2022-11-26,17.0,694443,741.0,469501,6713,0.01,0.68,0.206,0,Other
2022-11-27,9.0,1367405,629.0,87370,114505,0.08,0.06,0.192,0,Retail
2022-11-28,3.0,1219150,670.0,202994,296915,0.24,0.17,0.117,0,Retail
2022-11-29,8.0,898724,667.0,354817,284244,0.32,0.39,0.261,0,Other
2022-11-30,17.0,888244,541.0,28501,215490,0.24,0.03,0.443,1,Services
2022-12-01,12.0,371081,838.0,69754,16169,0.04,0.19,0.029,0,Manufacturing
2022-12-02,14.0,621027,529.0,349965,21901,0.04,0.56,0.453,1,Manufacturing
2022-12-03,18.0,1794848,792.0,24993,18908,0.01,0.01,0.089,0,Manufacturing
2022-12-04,6.0,1662788,602.0,439162,285672,0.17,0.26,0.405,1,Other
2022-12-05,13.0,672573,812.0,167732,256525,0.38,0.25,0.06,0,Manufacturing
2022-12-06,4.0,1825288,723.0,399200,78887,0.04,0.22,0.193,0,Services
2022-12-07,19.0,634332,832.0,427476,75260,0.12,0.67,0.003,0,Other
2022-12-08,11.0,1580017,624.0,427480,56632,0.04,0.27,0.418,1,Retail
2022-12-09,16.0,1725861,662.0,112934,115573,0.07,0.07,0.049,0,Other
2022-12-10,3.0,1462729,607.0,357907,261987,0.18,0.24,0.296,0,Manufacturing
2022-12-11,6.0,229624,601.0,425713,230508,1.0,1.85,0.895,1,Other
2022-12-12,15.0,92078,663.0,412653,206715,2.24,4.48,1.0,1,Manufacturing
2022-12-13,16.0,724767,591.0,173520,255247,0.35,0.24,0.281,1,Manufacturing
2022-12-14,4.0,1658093,787.0,149433,151385,0.09,0.09,0.143,0,Retail
2022-12-15,18.0,1441268,840.0,249662,49803,0.03,0.17,0.025,0,Manufacturing
2022-12-16,17.0,1033885,704.0,244908,59390,0.06,0.24,0.142,0,Services
2022-12-17,17.0,1195346,630.0,91521,277429,0.23,0.08,0.23,0,Other
2022-12-18,17.0,1163719,550.0,314872,141787,0.12,0.27,0.349,1,Manufacturing
2022-12-19,1.0,1387625,611.0,208793,168356,0.12,0.15,0.171,0,Services
2022-12-20,12.0,1814256,519.0,354625,36240,0.02,0.2,0.322,1,Retail
2022-12-21,1.0,336824,550.0,148054,145811,0.43,0.44,0.517,1,Retail
2022-12-22,16.0,175770,652.0,172363,93144,0.53,0.98,0.335,1,Other
2022-12-23,12.0,1518664,615.0,263673,180230,0.12,0.17,0.259,0,Retail
2022-12-24,13.0,172547,697.0,448924,121185,0.7,2.6,0.587,1,Services
2022-12-25,18.0,373098,669.0,95103,110857,0.3,0.25,0.227,0,Services
2022-12-26,12.0,1214820,663.0,106893,60856,0.05,0.09,0.15,0,Manufacturing
2022-12-27,7.0,948196,650.0,409633,258476,0.27,0.43,0.621,1,Retail
2022-12-28,3.0,752124,672.0,474718,154627,0.21,0.63,0.374,1,Retail
2022-12-29,11.0,1215873,679.0,224003,58607,0.05,0.18,0.304,0,Other
2022-12-30,13.0,1557371,627.0,222185,109888,0.07,0.14,0.326,1,Other
2022-12-31,3.0,1481931,685.0,248868,23287,0.02,0.17,0.15,0,Services
2023-01-01,15.0,1682401,766.0,18881,266262,0.16,0.01,0.074,0,Services
2023-01-02,10.0,1849459,542.0,463832,248619,0.13,0.25,0.3,1,Manufacturing
2023-01-03,13.0,1314700,846.0,499862,209770,0.16,0.38,0.034,0,Services
2023-01-04,18.0,1665967,618.0,444612,103442,0.06,0.27,0.237,0,Retail
2023-01-05,3.0,1819018,700.0,454606,256961,0.14,0.25,0.442,1,Services
2023-01-06,3.0,1704974,536.0,429291,75410,0.04,0.25,0.39,1,Services
2023-01-07,11.0,802706,774.0,400744,249017,0.31,0.5,0.232,0,Retail
2023-01-08,14.0,249562,515.0,186245,86403,0.35,0.75,0.575,1,Other
2023-01-09,19.0,505070,557.0,27525,117004,0.23,0.05,0.281,0,Retail
2023-01-10,17.0,495021,624.0,487609,266739,0.54,0.99,0.639,1,Retail
2023-01-11,16.0,1468132,629.0,146625,237078,0.16,0.1,0.214,0,Other
2023-01-12,18.0,837079,648.0,454704,206441,0.25,0.54,0.197,0,Retail
2023-01-13,10.0,346468,620.0,61123,98071,0.28,0.18,0.422,0,Retail
2023-01-14,17.0,1778075,506.0,144210,267971,0.15,0.08,0.419,1,Retail
2023-01-15,2.0,1892909,701.0,140421,234915,0.12,0.07,0.282,0,Other
2023-01-16,,1949926,655.0,15362,37240,0.02,0.01,0.105,0,Manufacturing
2023-01-17,11.0,808828,603.0,460670,55895,0.07,0.57,0.253,1,Manufacturing
2023-01-18,11.0,1535498,578.0,189415,53756,0.04,0.12,0.224,1,Services
2023-01-19,9.0,1352841,630.0,298665,85175,0.06,0.22,0.328,0,Other
2023-01-20,2.0,1974069,634.0,449978,206552,0.1,0.23,0.276,0,Services
2023-01-21,16.0,1724023,544.0,445660,238255,0.14,0.26,0.495,1,Services
2023-01-22,17.0,1179231,526.0,193677,145867,0.12,0.16,0.35,1,Retail
2023-01-23,10.0,1353742,654.0,196748,206730,0.15,0.15,0.218,0,Other
2023-01-24,6.0,69727,565.0,245248,151876,2.18,3.52,1.0,1,Services
2023-01-25,19.0,1863195,691.0,185394,92151,0.05,0.1,0.216,1,Retail
2023-01-26,4.0,611670,842.0,367289,67792,0.11,0.6,0.055,1,Other
2023-01-27,15.0,957162,793.0,239765,75739,0.08,0.25,0.0,0,Services
2023-01-28,18.0,754117,513.0,400789,256925,0.34,0.53,0.575,1,Manufacturing
2023-01-29,4.0,1707833,630.0,491097,39185,0.02,0.29,0.37,1,Retail
2023-01-30,18.0,627907,505.0,10560,34494,0.05,0.02,0.311,1,Other
2023-01-31,16.0,736214,849.0,188500,78279,0.11,0.26,0.0,0,Retail
2023-02-01,14.0,501540,773.0,396722,118874,0.24,0.79,0.141,0,Services
2023-02-02,12.0,765750,541.0,190265,1492,0.0,0.25,0.361,1,Retail
2023-02-03,7.0,891901,684.0,209328,93272,0.1,0.23,0.124,0,Retail
2023-02-04,11.0,1706013,588.0,428335,9904,0.01,0.25,0.471,1,Other
2023-02-05,4.0,1229619,596.0,248841,56570,0.05,0.2,0.044,1,Other
2023-02-06,18.0,1607753,624.0,374473,31107,0.02,0.23,0.159,1,Services
2023-02-07,16.0,1147179,677.0,254569,253608,0.22,0.22,0.128,1,Services
2023-02-08,12.0,1411447,688.0,328416,227153,0.16,0.23,0.303,0,Other
2023-02-09,14.0,1512939,678.0,451801,254087,0.17,0.3,0.074,0,Services
2023-02-10,1.0,1053048,759.0,65087,117093,0.11,0.06,0.0,0,Retail
2023-02-11,4.0,995151,838.0,302646,214478,0.22,0.3,0.175,1,Services
2023-02-12,9.0,1937359,602.0,202159,152814,0.08,0.1,0.46,1,Other
2023-02-13,18.0,57564,650.0,455306,42974,0.75,7.91,1.0,1,Services
2023-02-14,5.0,797196,798.0,255480,267011,0.33,0.32,0.175,0,Manufacturing
2023-02-15,5.0,533795,849.0,445725,232269,0.44,0.84,0.022,0,Services
2023-02-16,1.0,735885,519.0,308808,225771,0.31,0.42,0.489,1,Manufacturing
2023-02-17,19.0,68369,558.0,334169,72006,1.05,4.89,1.0,1,Manufacturing
2023-02-18,9.0,912361,553.0,155372,289435,0.32,0.17,0.498,1,Other
2023-02-19,19.0,510511,625.0,176584,164670,0.32,0.35,0.287,1,Retail
2023-02-20,19.0,816622,823.0,171335,139283,0.17,0.21,0.031,0,Other
2023-02-21,4.0,256071,659.0,108819,175536,0.69,0.42,0.589,1,Services
2023-02-22,19.0,540520,560.0,458392,105541,0.2,0.85,0.493,1,Services
2023-02-23,15.0,1045587,683.0,468732,206857,0.2,0.45,0.226,1,Other
2023-02-24,11.0,1957240,540.0,386880,214094,0.11,0.2,0.332,0,Other
2023-02-25,14.0,738776,670.0,26875,265031,0.36,0.04,0.091,0,Manufacturing
2023-02-26,3.0,1687717,528.0,117623,265117,0.16,0.07,0.293,0,Services
2023-02-27,15.0,746105,638.0,186798,189427,0.25,0.25,0.271,0,Other
2023-02-28,5.0,976958,566.0,386053,143011,0.15,0.4,0.448,1,Services
2023-03-01,2.0,73069,651.0,242870,280228,3.84,3.32,1.0,1,Manufacturing
2023-03-02,5.0,345255,595.0,451474,136270,0.39,1.31,0.72,1,Other
2023-03-03,12.0,1391213,547.0,138710,270580,0.19,0.1,0.373,0,Retail
2023-03-04,19.0,1040982,783.0,365447,86101,0.08,0.35,0.064,0,Services
2023-03-05,12.0,1070903,709.0,56254,217567,0.2,0.05,0.386,1,Other
2023-03-06,11.0,1292979,717.0,95463,53547,0.04,0.07,0.038,0,Retail
2023-03-07,19.0,1038397,610.0,443276,248602,0.24,0.43,0.495,1,Services
2023-03-08,16.0,1046627,600.0,365915,67294,0.06,0.35,0.467,1,Retail
2023-03-09,16.0,646963,537.0,427444,195138,0.3,0.66,0.567,1,Retail
2023-03-10,1.0,648835,764.0,298075,254530,0.39,0.46,0.281,0,Services
2023-03-11,15.0,1705698,575.0,15618,190467,0.11,0.01,0.226,0,Manufacturing
2023-03-12,1.0,872771,585.0,407572,167889,0.19,0.47,0.324,0,Services
2023-03-13,6.0,991294,819.0,121069,71368,0.07,0.12,0.001,0,Retail
2023-03-14,16.0,446953,715.0,228048,177107,0.4,0.51,0.306,1,Retail
2023-03-15,16.0,1430425,814.0,331043,4180,0.0,0.23,0.135,0,Retail
2023-03-16,11.0,1599895,790.0,276971,119125,0.07,0.17,0.069,0,Other
2023-03-17,15.0,1696463,544.0,385145,144412,0.09,0.23,0.294,0,Other
2023-03-18,17.0,956016,708.0,480629,102334,0.11,0.5,0.196,0,Services
2023-03-19,3.0,1568718,819.0,425220,12319,0.01,0.27,0.0,0,Manufacturing
2023-03-20,15.0,1208974,550.0,53790,70619,0.06,0.04,0.397,1,Other
2023-03-21,1.0,355174,625.0,414311,757,0.0,1.17,0.376,1,Services
2023-03-22,14.0,585756,659.0,106377,295932,0.51,0.18,0.269,1,Other
2023-03-23,11.0,559576,536.0,357222,165486,0.3,0.64,0.568,1,Other
2023-03-24,7.0,765850,575.0,115734,110034,0.14,0.15,0.261,1,Manufacturing
2023-03-25,19.0,509045,800.0,92796,25073,0.05,0.18,0.0,0,Retail
2023-03-26,7.0,1156266,658.0,279280,220034,0.19,0.24,0.142,0,Retail
2023-03-27,11.0,793697,676.0,480214,88379,0.11,0.61,0.448,1,Other
2023-03-28,9.0,1864894,642.0,67827,88590,0.05,0.04,0.376,1,Services
2023-03-29,15.0,840485,749.0,292669,117853,0.14,0.35,0.141,0,Services
2023-03-30,17.0,1124426,780.0,67491,240073,0.21,0.06,0.097,0,Retail
2023-03-31,10.0,1377601,734.0,33641,276205,0.2,0.02,0.332,1,Other
2023-04-01,16.0,1806837,539.0,106115,55043,0.03,0.06,0.361,1,Services
2023-04-02,8.0,1228577,739.0,492738,292818,0.24,0.4,0.036,0,Services
2023-04-03,13.0,1380818,818.0,300847,268959,0.19,0.22,0.079,0,Other
2023-04-04,13.0,389325,520.0,170236,268196,0.69,0.44,0.733,1,Retail
2023-04-05,9.0,221044,754.0,360671,231245,1.05,1.63,0.602,1,Retail
2023-04-06,18.0,1245895,754.0,176573,297713,0.24,0.14,0.124,0,Manufacturing
2023-04-07,18.0,90048,761.0,119685,248421,2.76,1.33,0.983,1,Other
2023-04-08,19.0,68338,801.0,471076,240070,3.51,6.89,1.0,1,Other
2023-04-09,1.0,565524,809.0,33098,163836,0.29,0.06,0.241,1,Services
2023-04-10,18.0,432811,563.0,440791,292695,0.68,1.02,0.728,1,Other
2023-04-11,15.0,612402,658.0,496531,82447,0.13,0.81,0.543,1,Manufacturing
2023-04-12,5.0,1535834,796.0,165485,51504,0.03,0.11,0.0,0,Services
2023-04-13,12.0,802532,663.0,421198,275235,0.34,0.52,0.486,1,Manufacturing
2023-04-14,12.0,1988449,637.0,378780,63533,0.03,0.19,0.197,1,Retail
2023-04-15,15.0,258198,800.0,341606,36146,0.14,1.32,0.338,0,Services
2023-04-16,2.0,1744603,629.0,442251,52942,0.03,0.25,0.3,0,Manufacturing
2023-04-17,7.0,925021,803.0,458707,255486,0.28,0.5,0.168,1,Manufacturing
2023-04-18,19.0,1156561,503.0,386664,256828,0.22,0.33,0.703,1,Manufacturing
2023-04-19,7.0,356637,670.0,334270,179151,0.5,0.94,0.565,1,Retail
2023-04-20,19.0,1107559,692.0,104740,24510,0.02,0.09,0.164,0,Other
2023-04-21,2.0,695552,848.0,292523,25676,0.04,0.42,0.15,0,Retail
2023-04-22,6.0,1883610,652.0,485990,133496,0.07,0.26,0.327,0,Retail
2023-04-23,14.0,1644267,561.0,355251,170629,0.1,0.22,0.166,0,Services
2023-04-24,15.0,382968,625.0,196897,71310,0.19,0.51,0.182,1,Manufacturing
2023-04-25,19.0,64227,528.0,351035,412,0.01,5.47,1.0,1,Services
2023-04-26,7.0,242493,665.0,133408,92194,0.38,0.55,0.533,1,Manufacturing
2023-04-27,7.0,770221,659.0,473023,225485,0.29,0.61,0.283,1,Other
2023-04-28,8.0,707593,612.0,478825,176251,0.25,0.68,0.547,1,Retail
2023-04-29,5.0,1378264,819.0,371119,85463,0.06,0.27,0.151,1,Other
2023-04-30,4.0,998142,512.0,313504,100712,0.1,0.31,0.451,1,Manufacturing
2023-05-01,10.0,742232,570.0,457608,275528,0.37,0.62,0.468,1,Services
2023-05-02,4.0,194215,709.0,79343,36422,0.19,0.41,0.353,1,Retail
2023-05-03,15.0,648296,664.0,462164,20448,0.03,0.71,0.374,1,Other
2023-05-04,2.0,1221677,800.0,100625,218572,0.18,0.08,0.054,0,Retail
2023-05-05,5.0,1651833,596.0,397475,152880,0.09,0.24,0.298,0,Manufacturing
2023-05-06,11.0,308174,783.0,497240,195384,0.63,1.61,0.581,1,Other
2023-05-07,11.0,307785,764.0,419724,2570,0.01,1.36,0.339,1,Retail
2023-05-08,17.0,198065,824.0,86711,214240,1.08,0.44,0.4,0,Other
2023-05-09,4.0,1040909,586.0,242297,83984,0.08,0.23,0.426,1,Retail
2023-05-10,5.0,929172,544.0,422453,78280,0.08,0.45,0.553,1,Services
2023-05-11,7.0,1102240,705.0,445551,248104,0.23,0.4,0.259,1,Services
2023-05-12,16.0,1598046,772.0,497892,111122,0.07,0.31,0.017,0,Manufacturing
2023-05-13,8.0,447484,637.0,34573,29998,0.07,0.08,0.304,1,Manufacturing
2023-05-14,19.0,1634190,611.0,48477,110501,0.07,0.03,0.143,0,Other
2023-05-15,8.0,609665,643.0,229751,278263,0.46,0.38,0.675,1,Services
2023-05-16,15.0,1013511,792.0,30763,99120,0.1,0.03,0.107,0,Manufacturing
2023-05-17,7.0,1634222,796.0,140559,124256,0.08,0.09,0.054,0,Services
2023-05-18,7.0,1535635,775.0,229491,120060,0.08,0.15,0.022,0,Manufacturing
2023-05-19,3.0,1630829,640.0,261519,150205,0.09,0.16,0.404,1,Services
2023-05-20,18.0,1747102,808.0,98521,5315,0.0,0.06,0.056,0,Retail
2023-05-21,15.0,1860836,702.0,123623,209219,0.11,0.07,0.267,0,Retail
2023-05-22,6.0,1233999,714.0,114646,261092,0.21,0.09,0.384,1,Manufacturing
2023-05-23,2.0,790411,816.0,130956,231954,0.29,0.17,0.022,0,Retail
2023-05-24,19.0,58499,840.0,151867,128029,2.19,2.6,1.0,1,Retail
2023-05-25,4.0,380594,611.0,377640,276302,0.73,0.99,0.627,1,Retail
2023-05-26,2.0,1181777,753.0,491216,26064,0.02,0.42,0.078,1,Other
2023-05-27,1.0,1322689,838.0,389189,159288,0.12,0.29,0.0,0,Retail
2023-05-28,15.0,737102,667.0,55868,229738,0.31,0.08,0.423,1,Manufacturing
2023-05-29,5.0,1657295,542.0,441878,126667,0.08,0.27,0.307,1,Manufacturing
2023-05-30,5.0,795007,508.0,339319,239072,0.3,0.43,0.483,1,Retail
2023-05-31,19.0,1663524,759.0,188569,88753,0.05,0.11,0.0,0,Other
2023-06-01,17.0,803166,831.0,298927,67325,0.08,0.37,0.022,0,Services
2023-06-02,1.0,841128,683.0,96947,8004,0.01,0.12,0.231,1,Manufacturing
2023-06-03,12.0,1258728,745.0,434897,229703,0.18,0.35,0.144,1,Manufacturing
2023-06-04,12.0,378073,829.0,115098,281524,0.74,0.3,0.403,1,Services
2023-06-05,18.0,992275,840.0,335774,245269,0.25,0.34,0.197,1,Other
2023-06-06,11.0,99197,837.0,15595,281218,2.83,0.16,0.826,1,Retail
2023-06-07,10.0,1751765,779.0,373686,220611,0.13,0.21,0.109,0,Manufacturing
2023-06-08,17.0,873278,683.0,131801,258200,0.3,0.15,0.156,1,Retail
2023-06-09,11.0,607134,705.0,359825,101408,0.17,0.59,0.251,0,Services
2023-06-10,13.0,1480409,523.0,256503,155059,0.1,0.17,0.21,0,Retail
2023-06-11,8.0,1591101,565.0,387256,37737,0.02,0.24,0.193,0,Retail
2023-06-12,13.0,1565892,520.0,307910,271523,0.17,0.2,0.544,1,Retail
2023-06-13,9.0,1876480,609.0,228023,195430,0.1,0.12,0.365,1,Retail
2023-06-14,16.0,141269,519.0,484881,235462,1.67,3.43,1.0,1,Retail
2023-06-15,19.0,1389207,755.0,472350,273600,0.2,0.34,0.254,0,Retail
2023-06-16,3.0,626196,842.0,129456,169705,0.27,0.21,0.0,0,Retail
2023-06-17,15.0,560394,629.0,401240,182033,0.32,0.72,0.459,1,Retail
2023-06-18,9.0,470344,756.0,445215,174686,0.37,0.95,0.506,1,Other
2023-06-19,18.0,318225,734.0,382466,282237,0.89,1.2,0.373,1,Services
2023-06-20,5.0,805830,721.0,205409,140957,0.17,0.25,0.394,1,Services
2023-06-21,1.0,98158,580.0,314147,86612,0.88,3.2,1.0,1,Retail
2023-06-22,8.0,1614161,502.0,434690,138706,0.09,0.27,0.507,1,Services
2023-06-23,9.0,680783,747.0,75761,20812,0.03,0.11,0.229,0,Other
2023-06-24,8.0,350330,839.0,151035,258430,0.74,0.43,0.221,0,Services
2023-06-25,19.0,1074901,767.0,490552,202952,0.19,0.46,0.236,0,Services
2023-06-26,14.0,524507,510.0,195531,129824,0.25,0.37,0.407,1,Manufacturing
2023-06-27,1.0,682515,730.0,354123,102174,0.15,0.52,0.232,1,Services
2023-06-28,4.0,1457088,812.0,59401,137681,0.09,0.04,0.0,0,Manufacturing
2023-06-29,5.0,1042509,760.0,335293,73916,0.07,0.32,0.253,1,Manufacturing
2023-06-30,14.0,1561394,830.0,445175,256964,0.16,0.29,0.0,0,Services
2023-07-01,4.0,1343247,729.0,71475,109127,0.08,0.05,0.177,1,Manufacturing
2023-07-02,10.0,1132031,697.0,105878,171210,0.15,0.09,0.149,1,Other
2023-07-03,2.0,1266566,575.0,34757,152543,0.12,0.03,0.361,1,Other
2023-07-04,9.0,432245,534.0,468625,62034,0.14,1.08,0.686,1,Retail
2023-07-05,3.0,1761670,721.0,417426,199215,0.11,0.24,0.114,0,Other
2023-07-06,13.0,1927634,556.0,482068,238428,0.12,0.25,0.497,1,Manufacturing
2023-07-07,2.0,786715,700.0,288299,134546,0.17,0.37,0.085,0,Manufacturing
2023-07-08,13.0,495871,712.0,210665,193442,0.39,0.42,0.267,1,Manufacturing
2023-07-09,18.0,1897362,523.0,91577,145555,0.08,0.05,0.346,0,Services
2023-07-10,5.0,493090,760.0,129986,34503,0.07,0.26,0.127,0,Manufacturing
2023-07-11,9.0,800757,637.0,437282,37967,0.05,0.55,0.279,1,Services
2023-07-12,18.0,1380211,807.0,369708,249990,0.18,0.27,0.0,0,Manufacturing
2023-07-13,15.0,1617724,766.0,167269,142951,0.09,0.1,0.029,0,Manufacturing
2023-07-14,11.0,1168997,574.0,236991,46510,0.04,0.2,0.172,0,Retail
2023-07-15,8.0,449971,568.0,202521,287053,0.64,0.45,0.577,1,Manufacturing
2023-07-16,14.0,587798,797.0,92212,154514,0.26,0.16,0.109,0,Retail
2023-07-17,6.0,1853282,657.0,282308,283734,0.15,0.15,0.303,0,Manufacturing
2023-07-18,9.0,1127871,614.0,408809,1115,0.0,0.36,0.381,0,Manufacturing
2023-07-19,7.0,88845,705.0,405779,96197,1.08,4.57,1.0,1,Services
2023-07-20,10.0,257845,794.0,165086,275449,1.07,0.64,0.555,1,Other
2023-07-21,2.0,1910432,841.0,244312,203085,0.11,0.13,0.0,0,Manufacturing
2023-07-22,10.0,1723507,509.0,159159,70118,0.04,0.09,0.565,1,Services
2023-07-23,8.0,353749,764.0,400389,258642,0.73,1.13,0.504,1,Manufacturing
2023-07-24,17.0,298039,666.0,35368,134746,0.45,0.12,0.39,1,Manufacturing
2023-07-25,19.0,821428,525.0,114791,89269,0.11,0.14,0.443,1,Manufacturing
2023-07-26,16.0,447073,560.0,300030,13841,0.03,0.67,0.428,1,Services
2023-07-27,13.0,1978992,845.0,308463,192584,0.1,0.16,0.0,0,Manufacturing
2023-07-28,6.0,654603,724.0,261769,279990,0.43,0.4,0.522,1,Other
2023-07-29,19.0,1244307,545.0,328916,21010,0.02,0.26,0.308,1,Services
2023-07-30,16.0,485600,645.0,258437,235225,0.48,0.53,0.337,1,Retail
2023-07-31,7.0,1607943,513.0,380190,197306,0.12,0.24,0.32,1,Retail
2023-08-01,11.0,912357,528.0,45750,99995,0.11,0.05,0.46,1,Manufacturing
2023-08-02,1.0,409976,615.0,350080,229854,0.56,0.85,0.575,1,Services
2023-08-03,19.0,455756,615.0,330255,158433,0.35,0.72,0.476,1,Manufacturing
2023-08-04,11.0,150860,573.0,387623,94828,0.63,2.57,0.969,1,Services
2023-08-05,2.0,559780,725.0,249341,116968,0.21,0.45,0.271,1,Retail
2023-08-06,8.0,1565365,676.0,254034,217230,0.14,0.16,0.278,1,Services
2023-08-07,13.0,592049,572.0,307296,143619,0.24,0.52,0.596,1,Retail
2023-08-08,11.0,205394,746.0,314470,19991,0.1,1.53,0.331,1,Manufacturing
2023-08-09,,1391863,566.0,358792,227215,0.16,0.26,0.312,1,Other
2023-08-10,16.0,1330677,826.0,307537,12133,0.01,0.23,0.15,0,Retail
2023-08-11,17.0,1678258,719.0,214495,235429,0.14,0.13,0.177,0,Manufacturing
2023-08-12,15.0,1439089,652.0,293186,294915,0.2,0.2,0.254,1,Services
2023-08-13,7.0,226467,528.0,479174,204477,0.9,2.12,1.0,1,Other
2023-08-14,17.0,1179537,646.0,162061,143344,0.12,0.14,0.34,1,Other
2023-08-15,8.0,1572240,678.0,290153,87545,0.06,0.18,0.335,1,Services
2023-08-16,3.0,1947683,643.0,273018,239125,0.12,0.14,0.407,1,Manufacturing
2023-08-17,9.0,1398920,651.0,201519,27024,0.02,0.14,0.444,0,Manufacturing
2023-08-18,9.0,1680821,831.0,378410,258289,0.15,0.23,0.06,0,Retail
2023-08-19,11.0,237164,715.0,30129,32211,0.14,0.13,0.236,1,Retail
2023-08-20,10.0,1346662,771.0,497060,120823,0.09,0.37,0.0,0,Manufacturing
2023-08-21,15.0,334187,511.0,192552,293213,0.88,0.58,0.795,1,Manufacturing
2023-08-22,1.0,1068738,694.0,290682,127995,0.12,0.27,0.237,0,Other
2023-08-23,4.0,1336433,722.0,26526,72409,0.05,0.02,0.0,0,Manufacturing
2023-08-24,12.0,1171774,846.0,203862,76942,0.07,0.17,0.067,0,Other
2023-08-25,4.0,1462592,506.0,212325,22517,0.02,0.15,0.371,0,Manufacturing
2023-08-26,6.0,456425,631.0,25833,147885,0.32,0.06,0.401,0,Services
2023-08-27,6.0,1193510,844.0,70638,228273,0.19,0.06,0.213,1,Other
2023-08-28,5.0,786885,567.0,367554,74403,0.09,0.47,0.484,0,Other
2023-08-29,6.0,1120817,524.0,455683,291273,0.26,0.41,0.455,1,Services
2023-08-30,5.0,580312,587.0,424334,16658,0.03,0.73,0.338,0,Other
2023-08-31,2.0,158741,608.0,40808,286063,1.8,0.26,1.0,1,Manufacturing
2023-09-01,14.0,1757447,667.0,249154,179679,0.1,0.14,0.022,0,Services
2023-09-02,1.0,1452778,808.0,185488,48246,0.03,0.13,0.07,1,Other
